"t","lower","median","upper","district","fit","date"
143,-0.0184815212552207,-0.0100452277240727,-0.00116235674650482,"Analamanga","gp",2020-07-03
144,-0.0222493937749103,-0.0136266990713824,-0.00301608927605875,"Analamanga","gp",2020-07-04
145,-0.027367851857376,-0.0175219880253614,-0.00556420641141412,"Analamanga","gp",2020-07-05
146,-0.0331516792226418,-0.0217398289149036,-0.00802102374870726,"Analamanga","gp",2020-07-06
147,-0.0394398760790839,-0.0257235255450255,-0.0113362200990583,"Analamanga","gp",2020-07-07
148,-0.0480435904322785,-0.0302658893104416,-0.01467667847752,"Analamanga","gp",2020-07-08
149,-0.0551877082550234,-0.0364886686737435,-0.0193145112660292,"Analamanga","gp",2020-07-09
150,-0.0622102704529331,-0.0431886055565501,-0.0249501278895272,"Analamanga","gp",2020-07-10
151,-0.07187822350335,-0.0505838252213946,-0.0313844217628081,"Analamanga","gp",2020-07-11
152,-0.0818993408000173,-0.0594106045932466,-0.0370511190153134,"Analamanga","gp",2020-07-12
153,-0.0915243174130425,-0.0679376182350492,-0.0430383889288931,"Analamanga","gp",2020-07-13
154,-0.100106903477812,-0.0760712630542525,-0.0526432827059691,"Analamanga","gp",2020-07-14
155,-0.107197562146293,-0.0847885071991153,-0.0617102253837588,"Analamanga","gp",2020-07-15
156,-0.118328366242899,-0.0941980317719668,-0.0704055124852214,"Analamanga","gp",2020-07-16
157,-0.12881803586522,-0.102976531344147,-0.080085674160982,"Analamanga","gp",2020-07-17
158,-0.135802467506302,-0.112130956783782,-0.0924277111529675,"Analamanga","gp",2020-07-18
159,-0.145301299134248,-0.122228522242226,-0.0981574517735089,"Analamanga","gp",2020-07-19
160,-0.157741271747932,-0.130608324691498,-0.108580216189367,"Analamanga","gp",2020-07-20
161,-0.170202968523805,-0.138103375255635,-0.114562360240082,"Analamanga","gp",2020-07-21
162,-0.174066702791923,-0.14363913160871,-0.121453155325005,"Analamanga","gp",2020-07-22
163,-0.17955330113044,-0.148676891829562,-0.125009349732492,"Analamanga","gp",2020-07-23
164,-0.18224242601098,-0.15186475883203,-0.12568517622812,"Analamanga","gp",2020-07-24
165,-0.186137531931451,-0.154386254217333,-0.130085690462897,"Analamanga","gp",2020-07-25
166,-0.191632313107719,-0.156677531107343,-0.122422952436725,"Analamanga","gp",2020-07-26
167,-0.194081466703511,-0.158622032478919,-0.12219109879387,"Analamanga","gp",2020-07-27
168,-0.198066330792329,-0.156735730958015,-0.124381285689381,"Analamanga","gp",2020-07-28
169,-0.191709023754515,-0.154734223337267,-0.120755988544122,"Analamanga","gp",2020-07-29
170,-0.200183227446209,-0.14956801688145,-0.115943651669309,"Analamanga","gp",2020-07-30
171,-0.188879106312105,-0.144547761734632,-0.119668308970916,"Analamanga","gp",2020-07-31
172,-0.176101357256278,-0.139644822450062,-0.114301676941863,"Analamanga","gp",2020-08-01
173,-0.169312492135466,-0.132725715431636,-0.100593727024909,"Analamanga","gp",2020-08-02
174,-0.1597119057346,-0.126594825522412,-0.0872957364488921,"Analamanga","gp",2020-08-03
175,-0.153066507826449,-0.118206319724373,-0.0750251436758749,"Analamanga","gp",2020-08-04
176,-0.148163146873729,-0.112381557532866,-0.0715865250396075,"Analamanga","gp",2020-08-05
177,-0.148070478690252,-0.10614342352258,-0.0703203420309451,"Analamanga","gp",2020-08-06
178,-0.144157007883104,-0.0971265988077346,-0.0676616686691464,"Analamanga","gp",2020-08-07
179,-0.134311771839898,-0.0931105747999617,-0.057324551113367,"Analamanga","gp",2020-08-08
180,-0.128459845128993,-0.0907442016753394,-0.0520410030623929,"Analamanga","gp",2020-08-09
181,-0.121450357555708,-0.0832510069497102,-0.0508499810390808,"Analamanga","gp",2020-08-10
182,-0.115376355951716,-0.0783892420953382,-0.0445786056175844,"Analamanga","gp",2020-08-11
183,-0.106145922168278,-0.0744544079026382,-0.0407228950620003,"Analamanga","gp",2020-08-12
184,-0.104039393977808,-0.0686805292596533,-0.0363459329645536,"Analamanga","gp",2020-08-13
185,-0.100774417679248,-0.0665208145822238,-0.0339616099597542,"Analamanga","gp",2020-08-14
186,-0.0980017139841649,-0.0631033988930391,-0.025940515734406,"Analamanga","gp",2020-08-15
187,-0.0960962924784816,-0.0581097031231716,-0.0216833505972711,"Analamanga","gp",2020-08-16
188,-0.0956165682347702,-0.0572120902779593,-0.0189670380971334,"Analamanga","gp",2020-08-17
189,-0.0933593245304657,-0.0553361151857801,-0.0136711649836154,"Analamanga","gp",2020-08-18
190,-0.0920125611304696,-0.0539679059269369,-0.0163398905635773,"Analamanga","gp",2020-08-19
191,-0.0903550992135026,-0.0521258478627815,-0.018168099339802,"Analamanga","gp",2020-08-20
192,-0.0846729456147521,-0.0521117118203251,-0.0226092957500944,"Analamanga","gp",2020-08-21
193,-0.0869609940389989,-0.0512932437803826,-0.0214796425586499,"Analamanga","gp",2020-08-22
194,-0.0882222575545181,-0.0517123046979035,-0.0171369798394769,"Analamanga","gp",2020-08-23
195,-0.0867285698640749,-0.0513454616108277,-0.0188164725077053,"Analamanga","gp",2020-08-24
196,-0.0911542196329828,-0.0551086414118399,-0.0208427502970119,"Analamanga","gp",2020-08-25
197,-0.0994307056599361,-0.056765821567826,-0.0237534942157805,"Analamanga","gp",2020-08-26
198,-0.100459500188617,-0.0574518669071886,-0.02177603785617,"Analamanga","gp",2020-08-27
199,-0.108510195020643,-0.0579628239316207,-0.0210247029318559,"Analamanga","gp",2020-08-28
200,-0.116272496587409,-0.0561488453487515,-0.0212949116355733,"Analamanga","gp",2020-08-29
201,-0.116611833923059,-0.0554218942901049,-0.020685221874205,"Analamanga","gp",2020-08-30
202,-0.121997720478442,-0.0593766976966011,-0.018429674680783,"Analamanga","gp",2020-08-31
203,-0.111996426132503,-0.058353383561965,-0.0208750693706522,"Analamanga","gp",2020-09-01
204,-0.112681092691381,-0.0609559977239132,-0.0216215858145182,"Analamanga","gp",2020-09-02
205,-0.110843797515702,-0.0599230852983329,-0.0208277637631696,"Analamanga","gp",2020-09-03
206,-0.113829583538683,-0.0591580045767877,-0.0185571208607408,"Analamanga","gp",2020-09-04
207,-0.116725840991572,-0.0543635214721752,-0.017134656840207,"Analamanga","gp",2020-09-05
208,-0.117855852570801,-0.0540962154716049,-0.00935545695450727,"Analamanga","gp",2020-09-06
