"t","lower","median","upper","district","fit","date"
122,0.155212888334115,0.201051812020848,0.256580441735509,"National","gp",2020-06-12
123,0.140320566208414,0.188435327896636,0.244490208821444,"National","gp",2020-06-13
124,0.127036195258524,0.171987652966616,0.220605583099586,"National","gp",2020-06-14
125,0.115757136871055,0.157053958859533,0.20114408921642,"National","gp",2020-06-15
126,0.105386915285086,0.140492060756059,0.17782771599383,"National","gp",2020-06-16
127,0.0944136752809908,0.124627283019419,0.159561946186175,"National","gp",2020-06-17
128,0.0823042806308064,0.109068690404138,0.143059736524911,"National","gp",2020-06-18
129,0.0707404957526176,0.0955280796810785,0.12658447847399,"National","gp",2020-06-19
130,0.0589223638321216,0.0830743505561819,0.110394230914582,"National","gp",2020-06-20
131,0.048280702357805,0.0728998193956405,0.099195825583759,"National","gp",2020-06-21
132,0.0383600549943812,0.0613140753237382,0.088206954354034,"National","gp",2020-06-22
133,0.0294793120632507,0.0518957432780217,0.0778172751586756,"National","gp",2020-06-23
134,0.0215240269460662,0.0419923081770029,0.067724900269401,"National","gp",2020-06-24
135,0.0160911241365555,0.0340162722215849,0.0557056189791918,"National","gp",2020-06-25
136,0.0113286023342038,0.0266049860771194,0.0468407605610924,"National","gp",2020-06-26
137,0.00857135632966696,0.0202885518235495,0.0395180366279616,"National","gp",2020-06-27
138,0.00647219955745332,0.0157270358803198,0.0332169177458084,"National","gp",2020-06-28
139,0.00449870021775964,0.0123104440703115,0.0274558848449582,"National","gp",2020-06-29
140,0.00314102792917709,0.00910755286213736,0.0217589022606054,"National","gp",2020-06-30
141,0.00120017908542149,0.00649855471513696,0.0170340086637652,"National","gp",2020-07-01
142,-0.000914580869104247,0.00405399091730321,0.0126302613280508,"National","gp",2020-07-02
143,-0.00256971532642354,0.0019877393687769,0.00832832378086915,"National","gp",2020-07-03
144,-0.00486440043270106,9.6434031454122e-06,0.00562287891669905,"National","gp",2020-07-04
145,-0.00768731424395102,-0.00161956258954298,0.00303605902841328,"National","gp",2020-07-05
146,-0.0106745635370229,-0.00369523629074623,0.000580048666001081,"National","gp",2020-07-06
147,-0.0136331720054767,-0.00566878552236072,-0.00150540682159492,"National","gp",2020-07-07
148,-0.0159829113973238,-0.00804003721948258,-0.00306016033145781,"National","gp",2020-07-08
149,-0.0190542953089552,-0.0105104118132147,-0.0045271030795283,"National","gp",2020-07-09
150,-0.0223815332310155,-0.0129654638651345,-0.00596945198197682,"National","gp",2020-07-10
151,-0.026620045966498,-0.0156498650636344,-0.0077251579112507,"National","gp",2020-07-11
152,-0.0310479508233282,-0.0186851077700917,-0.00990305545071279,"National","gp",2020-07-12
153,-0.0352041498852191,-0.0230129504736686,-0.0122162904150482,"National","gp",2020-07-13
154,-0.040085899434802,-0.0275520978680985,-0.0143966720941815,"National","gp",2020-07-14
155,-0.0458128642906382,-0.0323734681593861,-0.0169503448757826,"National","gp",2020-07-15
156,-0.0527766814257149,-0.0373216998072469,-0.0224463301317361,"National","gp",2020-07-16
157,-0.0595142907972799,-0.0429350229692143,-0.0281592936325922,"National","gp",2020-07-17
158,-0.0673447240539186,-0.0486346111896675,-0.0320958097332622,"National","gp",2020-07-18
159,-0.0748926189797133,-0.054199159680992,-0.0374566322413188,"National","gp",2020-07-19
160,-0.0826277666491164,-0.0602900169364184,-0.0419234956838096,"National","gp",2020-07-20
161,-0.0914506153515182,-0.0663591336328141,-0.049440495148579,"National","gp",2020-07-21
162,-0.0976995594724054,-0.0743017214446879,-0.053683864952088,"National","gp",2020-07-22
163,-0.10643235009738,-0.0810293395269573,-0.0594959010562368,"National","gp",2020-07-23
164,-0.111705733839605,-0.0870696592579235,-0.0648499295134557,"National","gp",2020-07-24
165,-0.116181228358434,-0.0926581574178982,-0.0678084866376046,"National","gp",2020-07-25
166,-0.119969044156001,-0.0945473758853301,-0.070851609957759,"National","gp",2020-07-26
167,-0.127070752897163,-0.0985905603715028,-0.0749988752762564,"National","gp",2020-07-27
168,-0.1314363210784,-0.102603367411801,-0.0780102769992458,"National","gp",2020-07-28
169,-0.136869217847178,-0.105467500141052,-0.0790140160696362,"National","gp",2020-07-29
170,-0.14269297490585,-0.106533893734252,-0.0798840726757938,"National","gp",2020-07-30
171,-0.137544852214661,-0.10717784970815,-0.0805627934123651,"National","gp",2020-07-31
172,-0.141674287094819,-0.106311465925855,-0.0783932873770307,"National","gp",2020-08-01
173,-0.13890653822401,-0.104459897162155,-0.0780833858377477,"National","gp",2020-08-02
174,-0.140238651771832,-0.100137761332586,-0.0739289748440519,"National","gp",2020-08-03
175,-0.138391334636467,-0.0971933798055557,-0.0656413252620867,"National","gp",2020-08-04
176,-0.129090916757079,-0.0916565732021364,-0.0619232050194786,"National","gp",2020-08-05
177,-0.120286665089849,-0.0874518639693461,-0.0615532947667489,"National","gp",2020-08-06
178,-0.115612504945161,-0.0826863631426615,-0.0615089260533843,"National","gp",2020-08-07
179,-0.111538913478964,-0.0796771922574072,-0.0542470941590368,"National","gp",2020-08-08
180,-0.105269554650755,-0.0787085451269338,-0.0476751762246748,"National","gp",2020-08-09
181,-0.101143334808762,-0.0761267935077298,-0.0442860219974814,"National","gp",2020-08-10
182,-0.0994859957503895,-0.0725420980439366,-0.0418669197812675,"National","gp",2020-08-11
183,-0.099919774373142,-0.07043984170807,-0.0378225256290116,"National","gp",2020-08-12
184,-0.0958093054485792,-0.0688025965006839,-0.0382358579753533,"National","gp",2020-08-13
185,-0.0924668561593494,-0.0657903899555625,-0.0330750466607838,"National","gp",2020-08-14
186,-0.0907040505765818,-0.0632554898018351,-0.029094696560267,"National","gp",2020-08-15
187,-0.0916170799667221,-0.0616795760757526,-0.0271299540340117,"National","gp",2020-08-16
188,-0.0905441819776818,-0.0603354497971995,-0.0278321005966609,"National","gp",2020-08-17
189,-0.091830462919106,-0.0595382219488374,-0.0308552904972047,"National","gp",2020-08-18
190,-0.0940539348231279,-0.0601743153931384,-0.0289617350812976,"National","gp",2020-08-19
191,-0.0957923577776454,-0.0598188009310194,-0.0245059436726874,"National","gp",2020-08-20
192,-0.0976999747855667,-0.0621179641890131,-0.0247140120813383,"National","gp",2020-08-21
193,-0.0988222546816455,-0.061530041365565,-0.0252851352086633,"National","gp",2020-08-22
194,-0.0981444929806965,-0.061522988443212,-0.0267585588672368,"National","gp",2020-08-23
195,-0.0985516657999446,-0.0628037897425599,-0.0322616862168469,"National","gp",2020-08-24
196,-0.100330509523029,-0.0658864597460846,-0.0246680103862498,"National","gp",2020-08-25
197,-0.105365898700782,-0.0682583230917679,-0.0235222330729264,"National","gp",2020-08-26
198,-0.109621315417866,-0.0710472502707939,-0.0228634477296195,"National","gp",2020-08-27
199,-0.111562380628237,-0.0733241446434823,-0.0254506268896992,"National","gp",2020-08-28
200,-0.114473446056153,-0.0746827751509251,-0.0326694393998823,"National","gp",2020-08-29
201,-0.115937796366884,-0.0759743344858315,-0.0324391571320183,"National","gp",2020-08-30
202,-0.113662745799351,-0.0792225825485695,-0.0371843852262173,"National","gp",2020-08-31
203,-0.115237718979461,-0.078535854866883,-0.0369694475187397,"National","gp",2020-09-01
