"date","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90","region","fit"
2020-09-14,"gp_rt",10,12.286,10.3882714176017,1,5,8,12,17,32,"Analamanga","EpiNow2-IPM-dat"
2020-09-15,"gp_rt",8,10.3615,8.92867560515083,1,4,6,10,14,27,"Analamanga","EpiNow2-IPM-dat"
2020-09-16,"gp_rt",6,8.00675,6.98855596071921,0,3,5,8,11,21,"Analamanga","EpiNow2-IPM-dat"
2020-09-17,"gp_rt",5,6.3415,5.58190533481102,0,2,4,6,9,17,"Analamanga","EpiNow2-IPM-dat"
2020-09-18,"gp_rt",6,7.59025,6.54110475763556,1,3,5,7,10,20,"Analamanga","EpiNow2-IPM-dat"
2020-09-19,"gp_rt",4,4.72475,4.27978580996115,0,2,3,5,7,13,"Analamanga","EpiNow2-IPM-dat"
2020-09-20,"gp_rt",2,3.018,2.97050197281413,0,1,2,3,4,9,"Analamanga","EpiNow2-IPM-dat"
2020-09-21,"gp_rt",5,6.18875,5.64442985026687,0,2,4,6,9,16,"Analamanga","EpiNow2-IPM-dat"
2020-09-22,"gp_rt",4,5.37375,4.88825476997405,0,2,3,5,7,15,"Analamanga","EpiNow2-IPM-dat"
2020-09-23,"gp_rt",3,3.8245,3.57440818156826,0,1,2,4,5,11,"Analamanga","EpiNow2-IPM-dat"
2020-09-24,"gp_rt",2,2.92225,2.94802945319653,0,1,2,3,4,9,"Analamanga","EpiNow2-IPM-dat"
2020-09-25,"gp_rt",3,3.3745,3.2092560790852,0,1,2,3,5,10,"Analamanga","EpiNow2-IPM-dat"
2020-09-26,"gp_rt",1,1.9425,2.05712218594861,0,0,1,2,3,6,"Analamanga","EpiNow2-IPM-dat"
2020-09-27,"gp_rt",1,1.223,1.50543601139208,0,0,0,1,2,4,"Analamanga","EpiNow2-IPM-dat"
2020-09-28,"gp_rt",2,2.322,2.38825081084125,0,1,1,2,3,7,"Analamanga","EpiNow2-IPM-dat"
2020-09-29,"gp_rt",1,1.902,2.09093017512525,0,0,1,2,3,6,"Analamanga","EpiNow2-IPM-dat"
2020-09-30,"gp_rt",1,1.33175,1.63565301262047,0,0,1,1,2,5,"Analamanga","EpiNow2-IPM-dat"
2020-10-01,"gp_rt",1,0.9685,1.3326483924631,0,0,0,1,1,3,"Analamanga","EpiNow2-IPM-dat"
2020-10-02,"gp_rt",1,1.059,1.36381230233453,0,0,0,1,2,4,"Analamanga","EpiNow2-IPM-dat"
2020-10-03,"gp_rt",0,0.581,0.914958079406793,0,0,0,0,1,2,"Analamanga","EpiNow2-IPM-dat"
2020-10-04,"gp_rt",0,0.35725,0.715716773678689,0,0,0,0,1,2,"Analamanga","EpiNow2-IPM-dat"
2020-10-05,"gp_rt",0,0.672,1.06240207762581,0,0,0,1,1,3,"Analamanga","EpiNow2-IPM-dat"
2020-10-06,"gp_rt",0,0.5465,0.936780197957248,0,0,0,0,1,2,"Analamanga","EpiNow2-IPM-dat"
2020-10-07,"gp_rt",0,0.38625,0.75511819496824,0,0,0,0,1,2,"Analamanga","EpiNow2-IPM-dat"
2020-10-08,"gp_rt",0,0.3025,0.673503639030961,0,0,0,0,0,2,"Analamanga","EpiNow2-IPM-dat"
2020-10-09,"gp_rt",0,0.3255,0.715316481997552,0,0,0,0,0,2,"Analamanga","EpiNow2-IPM-dat"
2020-10-10,"gp_rt",0,0.172,0.459857442276195,0,0,0,0,0,1,"Analamanga","EpiNow2-IPM-dat"
2020-10-11,"gp_rt",0,0.12175,0.379424469732855,0,0,0,0,0,1,"Analamanga","EpiNow2-IPM-dat"
2020-10-12,"gp_rt",0,0.244,0.610784138887119,0,0,0,0,0,1,"Analamanga","EpiNow2-IPM-dat"
2020-10-13,"gp_rt",0,0.1915,0.545804200750039,0,0,0,0,0,1,"Analamanga","EpiNow2-IPM-dat"
2020-10-14,"gp_rt",0,0.15125,0.451579913863151,0,0,0,0,0,1,"Analamanga","EpiNow2-IPM-dat"
2020-03-26,"gp_rt",1,1.784,2.34887703080141,0,0,1,1,3,6,"Atsinanana","EpiNow2-IPM-dat"
2020-03-27,"gp_rt",1,1.55475,2.16348621572947,0,0,1,1,2,6,"Atsinanana","EpiNow2-IPM-dat"
2020-03-28,"gp_rt",1,1.13875,1.73759985347971,0,0,0,1,2,4,"Atsinanana","EpiNow2-IPM-dat"
2020-03-29,"gp_rt",0,0.8385,1.3745508712028,0,0,0,1,1,3,"Atsinanana","EpiNow2-IPM-dat"
2020-03-30,"gp_rt",1,2.395,3.03039119879009,0,0,1,2,3,8,"Atsinanana","EpiNow2-IPM-dat"
2020-03-31,"gp_rt",1,1.68125,2.32894921340283,0,0,1,1,2,6,"Atsinanana","EpiNow2-IPM-dat"
2020-04-01,"gp_rt",1,1.88225,2.52912713371919,0,0,1,2,3,7,"Atsinanana","EpiNow2-IPM-dat"
