"region","fit","variable","date","type","bottom","top","lower","upper","median","mean"
"National","EpiNow2-IPM-dat","R","2020-04-29","estimate",1.55957207151554,2.36032256788674,1.75364278553117,2.07258716329336,1.90664361025293,1.92461727836771
"National","EpiNow2-IPM-dat","R","2020-04-30","estimate",1.52052051593149,2.23657495579992,1.69040896182473,1.97714087393788,1.82934622666662,1.84669817869875
"National","EpiNow2-IPM-dat","R","2020-05-01","estimate",1.46023825251646,2.09213285450557,1.6133057213653,1.86626945674762,1.73361785477587,1.74879782179036
"National","EpiNow2-IPM-dat","R","2020-05-02","estimate",1.38634814539755,1.94676458918534,1.52482484359131,1.73846648552754,1.62829782813469,1.63944647402381
"National","EpiNow2-IPM-dat","R","2020-05-03","estimate",1.29841229806296,1.78781837124712,1.42646531754607,1.61855890650179,1.51829272298852,1.52659717578853
"National","EpiNow2-IPM-dat","R","2020-05-04","estimate",1.19923708396397,1.64495989529173,1.32905084124232,1.50301629765506,1.41217022017529,1.41683176555948
"National","EpiNow2-IPM-dat","R","2020-05-05","estimate",1.09977315393466,1.52509134030971,1.23013010752271,1.40013152531188,1.31563016836221,1.31501810300705
"National","EpiNow2-IPM-dat","R","2020-05-06","estimate",1.01491001900731,1.42771080359298,1.13968093791133,1.30963886040953,1.22670019276056,1.22433370593656
"National","EpiNow2-IPM-dat","R","2020-05-07","estimate",0.938821290628679,1.34602049201781,1.06445306038504,1.23327331973596,1.1497842046321,1.14651717824118
"National","EpiNow2-IPM-dat","R","2020-05-08","estimate",0.877651775816479,1.28216845820812,0.996520739291081,1.16682396451601,1.08530002193685,1.08221375062743
"National","EpiNow2-IPM-dat","R","2020-05-09","estimate",0.826681479092039,1.23075674138656,0.946199043825464,1.11710007039706,1.0340806956135,1.03131669396307
"National","EpiNow2-IPM-dat","R","2020-05-10","estimate",0.792137831137916,1.1864955519188,0.909708679125474,1.07708044300798,0.9958412584911,0.993248129766213
"National","EpiNow2-IPM-dat","R","2020-05-11","estimate",0.770226002721908,1.15504786068141,0.88736095415714,1.04847909720247,0.969676606458039,0.96715714704691
"National","EpiNow2-IPM-dat","R","2020-05-12","estimate",0.761852381059655,1.13043805178809,0.875344983484564,1.03242296795225,0.952842449981783,0.952035718524611
"National","EpiNow2-IPM-dat","R","2020-05-13","estimate",0.763426290563958,1.11572984872312,0.875734487621065,1.02234088854988,0.948813006193587,0.946764954121755
"National","EpiNow2-IPM-dat","R","2020-05-14","estimate",0.774109342197599,1.11612224528268,0.881717567243052,1.02015933345109,0.954078205274344,0.950109435353588
"National","EpiNow2-IPM-dat","R","2020-05-15","estimate",0.796089720753418,1.11726550636061,0.897000876112591,1.02643916461833,0.96276049565959,0.960679612703156
"National","EpiNow2-IPM-dat","R","2020-05-16","estimate",0.818756962115185,1.13382084220146,0.914708394575135,1.03764917046396,0.977024302849193,0.976884128246801
"National","EpiNow2-IPM-dat","R","2020-05-17","estimate",0.841968886624721,1.15697777539102,0.934837250822635,1.05670777702289,0.992679444009123,0.996896075019457
"National","EpiNow2-IPM-dat","R","2020-05-18","estimate",0.865226150431202,1.19359683736495,0.951327939257331,1.07759287742292,1.0129009843217,1.01865822245425
"National","EpiNow2-IPM-dat","R","2020-05-19","estimate",0.885010992247473,1.22643531575212,0.967822914013813,1.10096980457272,1.03126545230312,1.03994927345047
"National","EpiNow2-IPM-dat","R","2020-05-20","estimate",0.898901442034121,1.25734344386255,0.979930240446241,1.12443790519859,1.04655619211104,1.0585231699583
"National","EpiNow2-IPM-dat","R","2020-05-21","estimate",0.904655101722755,1.28296490464181,0.987756355165415,1.14415827897661,1.05941336250239,1.07231481847954
"National","EpiNow2-IPM-dat","R","2020-05-22","estimate",0.907037795810971,1.29369191936504,0.99182982359007,1.15499172223837,1.06674656358069,1.07968081183593
